"""RT @CutestSinRin: SinB being soft with a little bud, I'm melting 😌 #Gfriend https://t.co/0lp7FHLh0T""","""RT @CutestSinRin: SinB being soft with a little bud, I'm melting  #Gfriend https://t.co/0lp7FHLh0T""","{""😌"": 1}"
"""RT @empireofthekop: A list of games Sadio Mane likely to miss... 😡 https://t.co/WCSIKYOwIS""","""RT @empireofthekop: A list of games Sadio Mane likely to miss...  https://t.co/WCSIKYOwIS""","{""😡"": 1}"
"""@jeanmcc1 good morning Jean 😊👍🍀""","""@jeanmcc1 good morning Jean ""","{""🍀"": 1, ""👍"": 1, ""😊"": 1}"
"""i’m so glad i don’t talk to certain people anymore tbh 🤷🏽‍♀️""","""i’m so glad i don’t talk to certain people anymore tbh ""","{""🤷🏽‍♀️"": 1}"
"""RT @FemaleStruggIes: I actually like driving alone bc I can listen to the same song 96 times in a row without anyone stopping me 😊😊😊😊😊😊😊😊😊😊…""","""RT @FemaleStruggIes: I actually like driving alone bc I can listen to the same song 96 times in a row without anyone stopping me …""","{""😊"": 10}"
"""Part 3 😂 https://t.co/MQaHqb8xmV""","""Part 3  https://t.co/MQaHqb8xmV""","{""😂"": 1}"
"""Me when #Eminem drew that line between his racist fans and Trump supporters.. My nigga! ✊ https://t.co/L45WZd6Q3w""","""Me when #Eminem drew that line between his racist fans and Trump supporters.. My nigga!  https://t.co/L45WZd6Q3w""","{""✊"": 1}"
"""RT @watlek0: I taught you how to love me,\n\nyet you love someone else 🌸""","""RT @watlek0: I taught you how to love me,\n\nyet you love someone else ""","{""🌸"": 1}"
"""RT @Crunchyroll: NEWS: Meet the Staff and Cast of King's Game\n\n🌟 Read: https://t.co/HsBsTM7tFM https://t.co/2YdcQ24m8Q""","""RT @Crunchyroll: NEWS: Meet the Staff and Cast of King's Game\n\n Read: https://t.co/HsBsTM7tFM https://t.co/2YdcQ24m8Q""","{""🌟"": 1}"
"""@jofneuli Love you darl♥️""","""@jofneuli Love you darl️""","{""♥"": 1}"
